,symbol,category,product_summary,asset_class,inception_date,minimum_investment,expense_ratio,risk_level
69,VMNVX,World Stock,"The fund invests primarily in U.S. and foreign stocks that are expected to minimize volatility relative to the global equity market. To reduce volatility, the fund will consider stocks’ risk and diversification characteristics and seek to hedge away most of the currency exposure resulting from its foreign stock holdings. While the fund’s goal is to limit the volatility of global stock investing, we caution against expecting any low or minimum volatility investment to outperform, or even match, the global equity market over the long term. It is reasonable for investors to expect, on average, for a minimum volatility fund to outperform the overall global market in sharp downturns and trail the market in strong bull markets.",International/Global Stock,2013-12-12,50000,0.0014,Moderate to Aggressive
70,VSMGX,Moderate Allocation,"The LifeStrategy Funds are a series of broadly diversified, low-cost funds with an all-index, fixed allocation approach that may provide a complete portfolio in a single fund. The four funds, each with a different allocation, target various risk-based objectives. The Moderate Growth Fund seeks to provide capital appreciation and a low to moderate level of current income. The fund holds 60% of its assets in stocks, a portion of which is allocated to international stocks, and 40% in bonds, a portion of which is allocated to international bonds. Investors with a long-term time horizon who can accept stock market volatility may wish to consider this fund.",Balanced,1994-09-30,3000,0.0013,Moderate
71,VDE,Equity Energy,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the energy sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies involved in the exploration and production of energy products such as oil, natural gas, and coal.",Domestic Stock - Sector-Specific,2004-09-23,1,0.001,Aggressive
72,VSS,Foreign Small/Mid Growth,"Attempts to track the performance of the FTSE Global Small Cap ex US Index.Provides a convenient way to get broad exposure across developed and emerging non-U.S. small-cap equity markets around the world.Passively managed, using index sampling.",International/Global Stock,2009-04-02,1,0.0007,Aggressive
73,VFTNX,Large Growth,"Important note: The index excludes the stocks of companies that FTSE determines engage in, have a specified level of involvement in, and/or derive threshold amounts of revenue from one or more of the following activities: (i) produce adult entertainment; own/operate adult entertainment establishments; distribute adult entertainment materials; (ii) manufacture alcoholic beverages; supply alcohol-related products/services to alcoholic beverage manufacturers; involved in distribution and/or retail sale of alcoholic beverages; (iii) manufacture tobacco products; supply tobacco related products/services; involved in distribution and/or retail sale of tobacco products; (iv) engage in cannabis cultivation, cannabis distribution, the processing and distribution of cannabis plants, and the creation of cannabis derivative products per the Industry Classification Benchmark (ICB) standards; (v) own and/or operate a gambling establishment; manufacture specialized equipment used exclusively for gambling; provide supporting products/services to gambling operations; (vi) produce chemical or biological weapons and their components; (vii) produce (or produce specific and critical parts or services for) cluster munitions; (viii) produce (or produce specific and critical parts or services for) anti-personnel mines; (ix) produce nuclear weapons or their components; (x) manufacture military weapons systems and/or integral, tailor-made components of these weapons; provide tailor-made products and/or services that support military weapons; provide non-weapons related tailor-made products and/or services related to the military or defense industry; (xi) produce and sell assault weapons or small arms to civilian customers; produce and sell key components of small arms; involved in the retail and/or distribution of assault weapons or small arms; (xii) involved in the operation and supply of nuclear power generation, that harnesses the energy present within atomic nuclei or their components; engaged in the development, processing, production and distribution of equipment and facilities that are specifically designed for and critical to the generation of nuclear power; (xiii) own proved or probable reserves in coal, oil, or gas; (xiv) any company that FTSE determines per the ICB standards: (a) engages in the exploration for and drilling, production, and supply of crude oil on land or in offshore areas; (b) primarily engages in the refining and marketing of petroleum products; (c) supplies equipment and services to oil fields and offshore platforms; (d) operates pipelines carrying oil, gas or other forms of fuel; (e) engages in all three fields of petroleum production: extraction (upstream), transportation (midstream), and refining and marketing (downstream); or (f) mines, processes and markets coal per the ICB standards; and (xv) generate electricity from oil and/or gas, or thermal coal. The level or type of involvement in, or amount of revenue earned from, certain activities or business segments that lead to exclusion by FTSE can vary from one activity or business segment to another. The index methodology also excludes the stocks of companies that, as FTSE determines based on its internal assessment, do not meet certain labor, human rights, environmental, and anti-corruption standards as defined by the United Nations Global Compact Principles, as well as companies that fail to meet two of the following three diversity criteria: (1) at least one woman on the board; (2) diversity policies in place; and (3) diversity management systems in place. FTSE uses internal methodologies to analyze various factors in determining whether a company meets the foregoing criteria and/or falls within a particular industry, including whether the company has a certain amount of revenue derived from an industry, the company’s level of involvement in an industry, and the severity of certain controversies (as determined by FTSE), which can vary from one company to another and from one activity to another. For more information, see United Nations Global Compact, 2020. The Ten Principles of the UN Global Compact. Accessed December 2, 2020, at unglobalcompact.org/what-is-gc/mission/principles.",Domestic Stock - General,2003-01-14,5000000,0.0012,Moderate to Aggressive
74,VIGIX,Large Growth,"This fund invests in stocks of large U.S. companies in market sectors that tend to grow more quickly than the broad market. This low-cost index fund follows a buy-and-hold approach and invests in substantially all of the stocks represented in its broad benchmark. The fund’s primary risk, apart from general stock market volatility, comes from the fact that its focus on large-capitalization growth stocks may, at times, underperform the broader stock market.",Domestic Stock - General,1998-05-14,5000000,0.0004,Moderate to Aggressive
75,VPL,Diversified Pacific/Asia Stock,"Seeks to track the performance of the FTSE Developed Asia Pacific All Cap Index, which measures the investment return of stocks issued by companies located in the major markets of the Pacific region.Holds stocks of companies located in Japan (the major index component), Australia, Hong Kong, New Zealand, and Singapore.Follows a passively managed, full-replication approach.",International/Global Stock,2005-03-04,1,0.0008,Aggressive
76,VMSAX,Multisector Bond,"This actively managed fund seeks to provide broadly diversified exposure across bonds of any credit quality. The low-cost fund invests in U.S. Treasury, corporate bonds, and emerging-market bonds. Using a disciplined, risk-controlled approach, the fund seeks to outperform its benchmark through security selection, sector allocation, and duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s net asset value. This fund is expected to have a meaningful allocation to lower-credit-quality securities, so it is also subject to credit risk; negative perceptions about an issuer’s ability to make its interest or principal payments in a timely manner may cause the price of that bond to decrease. Since the fund invests in all major segments, maturities, and qualities of the fixed income market, investors willing to accept additional risk in their fixed income allocation may consider the fund as a satellite holding.",Taxable Bond,2021-10-12,50000,0.003,Moderate
77,VESGX,World Stock,NA,International/Global Stock,2019-06-05,50000,0.0047,Moderate to Aggressive
78,VOHIX,Muni Ohio,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and Ohio personal income taxes. The fund is intended for Ohio residents only. The Fund It invests primarily in high-quality municipal bonds issued by Ohio state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and Ohio state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. This low-cost municipal bond fund seeks to provide federally tax-exempt and Ohio state tax-exempt income and typically appeals to investors in higher tax brackets who reside in Ohio. The fund holds high-quality long-term Ohio municipal bonds with has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and Ohio state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Long-Term Bond,1990-06-18,3000,0.0013,Moderate
79,VONG,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Domestic Stock - General,2010-09-20,1,0.0008,Moderate to Aggressive
80,VFWAX,Foreign Large Blend,"This index fund provides investors with low-cost exposure to stock markets located outside the United States. The fund seeks to track an index that consists of companies located in developed markets, including Europe, the Pacific, and Canada, and in emerging markets. In addition to stock market risk, the fund is also subject to currency risk and country risk. Because of its exposure to emerging markets, the fund can be more volatile than other international funds. Long-term investors seeking exposure to non-U.S. markets may wish to consider this fund as part of a diversified portfolio.",International/Global Stock,2011-09-27,3000,0.0012,Aggressive
81,VTES,Muni National Short,"The investment objective of this index fund is to seek to track the performance of a benchmark index that measures the investment-grade segment of the U.S. municipal bond market with maturities between one month and 7 years. The fund employs an indexing investment approach designed to track the S&P 0-7 Year National AMT-Free Municipal Bond Index using a sampling technique to closely match key benchmark characteristics. All of the fund’s investments will be selected through the sampling process, and at least 80% of the fund’s assets will be invested in securities held in the index. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income will be exempt from federal income taxes and the federal alternative minimum tax. Risks of the fund include the fact that changes in interest rates can affect the fund by resulting in lower bond prices (when interest rates go up) or an eventual decrease in income for the fund (when rates decline). Investors who are looking for a fund that may provide federal tax-exempt income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Short-Term Bond,2023-03-07,1,0.0007,Conservative to Moderate
82,VPU,Utilities,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the utilities sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies that distribute electricity, water, or gas, or that operate as independent power producers.",Domestic Stock - Sector-Specific,2004-01-26,1,0.001,Aggressive
83,VFFVX,Target-Date 2051-2055,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stock and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2053 and 2057.,Balanced,2010-08-18,1000,0.0008,Moderate to Aggressive
84,VPADX,Diversified Pacific/Asia Stock,"This index fund provides investors low-cost exposure to companies in developed countries of the Pacific region. The fund invests in about 2,150 stocks throughout the region, which makes up roughly a quarter of the non-U.S. equity marketplace. In addition to stock market risk, the fund is also subject to currency risk and may have a higher degree of country risk than other international funds, since it invests solely in stocks of countries located in the Pacific region, particularly Japan. Long-term investors seeking exposure to Pacific equities may wish to consider this fund as part of a diversified portfolio.",International/Global Stock,2001-08-13,3000,0.001,Aggressive
85,VGYAX,Conservative Allocation,"This income-oriented balanced fund offers exposure to U.S. and foreign stocks and investment-grade bonds. Balanced funds typically offer a higher allocation to stocks; however, this fund is unique in allocating about one-third to stocks and two-thirds to bonds. Because it invests in U.S. and foreign stocks and investment-grade bonds, the fund is subject to both currency risk and country risk. The fund’s stock holdings are focused on companies that have historically paid a larger-than-average dividend or that have expectations of increasing dividends. This focus may provide a higher quarterly income distribution than non-income-focused balanced funds. Investors with a long-term time horizon who have a goal of steady income and who are willing to accept modest movement in share price may wish to consider this fund.",Global Balanced,2017-11-02,50000,0.0029,Moderate
86,VMSXX,Muni National Money Market,"Vanguard Municipal Money Market Fund’s investment objective is to seek to provide current income that is exempt from federal personal income taxes while maintaining liquidity and a stable share price of $1. As such it is considered one of the most conservative investment options offered by Vanguard. Although the fund invests in short-term, high-quality securities, the amount of income that a shareholder may receive will be largely dependent on the current interest rate environment and the availability of eligible municipal securities. Investors in a higher tax bracket who have a short-term savings goal and seek a competitive tax-free yield may wish to consider this option.",Money Market,1980-06-10,3000,0.0015,Conservative
87,VCAIX,Muni California Interm/Short,"The fund’s investment objective is to seek to provide a higher level of current income than shorter-term bonds, but with less share-price fluctuation than longer-term bonds. The fund is intended for California residents only. It invests primarily in high-quality municipal bonds issued by California state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and California state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 6 and 12 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal and California state tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,1994-03-04,3000,0.0017,Conservative to Moderate
88,VAGVX,Foreign Large Value,"The fund will provide global, all-cap, contrarian value exposure by investing in discounted companies that are being avoided or overlooked due to uncertainty or complacency. The investment style involves identifying deeply mispriced companies with moderate risk expectations and blends it with strategies designed to exploit inefficiencies in the market, and in particular those created by behavioral biases.",International/Global Stock,2021-11-09,0,0.004,Aggressive
89,VOT,Mid Growth,"Seeks to track the performance of the CRSP US Mid Cap Growth Index, which measures the investment return of mid-capitalization growth stocks.Provides a convenient way to match the performance of a diversified group of midsize growth companies.Follows a passively managed, full-replication approach.",Domestic Stock - More Aggressive,2006-08-17,1,0.0007,Aggressive
90,VSBSX,Short Government,"This fund employs an indexing investment approach designed to track the performance of the Bloomberg US Treasury 1–3 Year Bond Index. This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities), all with maturities between 1 and 3 years. Like other bond funds, one of the fund’s risks is that increases in interest rates cause the prices of the bonds in the portfolio to decrease; however, such risk is less pronounced in this fund than in funds with longer average durations. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. The fund has a reduced risk of default, since the bonds in the portfolio are backed by the full faith and credit of the U.S. government. Investors with short-term savings goals who are willing to accept some price movement may wish to consider this fund.",Short-Term Bond,2009-12-28,3000,0.0007,Conservative
91,IVOV,Mid Value,"On February 22, 2023, Vanguard announced that the ETF will complete a 2:1 share split effective March 14, 2023. The share split results in a decrease of the price per share of the ETF with a proportionate increase in the number of shares outstanding. Historical share price data will not be adjusted for the split. Although certain data may reflect both pre- and post-split prices, returns are not impacted.",Domestic Stock - More Aggressive,2010-09-07,1,0.0015,Aggressive
92,VIGI,Foreign Large Blend,"Seeks to track the performance of the S&P Global Ex-U.S. Dividend Growers Index.Employs a passively managed, full-replication strategy.The fund remains fully invested.Large-cap equity, emphasizing stocks from developed and emerging markets, excluding the United States, with a record of growing dividends year over year.Low expenses minimize net tracking error.",International/Global Stock,2016-02-25,1,0.0015,Aggressive
93,VTIP,Inflation-Protected Bond,"Seeks to track an index that measures the performance of inflation-protected public obligations of the U.S. Treasury that have a remaining maturity of less than five years.Designed to generate returns more closely correlated with realized inflation over the near term, and to offer investors the potential for less volatility of returns relative to a longer-duration TIPS fund.Given its shorter duration, the fund can be expected to have less real interest rate risk, but also lower total returns relative to a longer-duration TIPS fund.Invests in bonds backed by the full faith and credit of the federal government and whose principal is adjusted semiannually based on inflation.Can provide protection from inflationary surprises or ”unexpected inflation.”",Inflation-Indexed Securities,2012-10-12,1,0.0004,Conservative
94,VWESX,Long-Term Bond,"This fund provides diversified exposure to medium-and high- quality investment-grade corporate bonds with an average maturity of 15 to 25 years. Reflecting this goal, the fund invests primarily in corporate bonds, with a small percentage in taxable municipal bonds, within that maturity range. One of the fund’s risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Changes in interest rates have a bigger impact on bonds with longer-term maturities. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Long-Term Bond,1973-07-09,3000,0.0021,Moderate
95,VASVX,Mid Value,"This fund focuses on mid-sized companies. The fund’s three advisors buy stocks they view as being significantly undervalued and out of favor with investors. Because of the size and characteristics of the stocks the fund holds, performance can vary significantly from that of the broad stock market. The fund is typically concentrated in a small number of stocks and, therefore, can be subject to significant volatility. Investors in this fund should have a long-term horizon and may consider the fund complementary to an already diversified portfolio.",Domestic Stock - More Aggressive,1996-02-15,3000,0.0038,Aggressive
96,VSGDX,Short Government,"The fund’s investment objective is to seek to provide current income while maintaining limited price volatility. Under normal circumstances, the fund will invest at least 80% of its assets in short-term bonds issued or guaranteed by the U.S. government and its agencies, many of which are not backed by the full faith and credit of the U.S. government. The fund is expected to maintain a dollar-weighted average maturity of 1 to 4 years.",Short-Term Bond,2001-02-12,50000,0.001,Conservative
97,VGPMX,World Stock,"This fund looks for opportunities arising from changing investor sentiment resulting from cycles of under- and overinvestment in capital-intensive industries. At least 25% of the fund will be invested in precious metals and mining securities. It also focuses on opportunities to invest in companies with scarce, high-quality infrastructure assets—typically in utilities and telecommunications—that are viewed as irreplaceable and therefore have enduring value. In addition to stock market risk, the fund is subject to currency risk and country risk. Long-term investors seeking global equity exposure and who are comfortable with the added volatility in international investing may wish to consider this fund.",International/Global Stock,1984-05-23,3000,0.0043,Aggressive
98,VUG,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Domestic Stock - General,2004-01-26,1,0.0004,Moderate to Aggressive
99,VWEHX,High Yield Bond,"Vanguard High-Yield Corporate Fund invests in a diversified portfolio of medium- and lower-quality corporate bonds, often referred to as “junk bonds.” Created in 1978, this fund seeks to purchase what the advisor considers higher-rated junk bonds. This approach aims to capture consistent income and minimize defaults and principal loss. Although this is a bond fund, high-yield bonds tend to have volatility similar to that of the stock market. This fund may be considered complementary to an already diversified portfolio.",Intermediate-Term Bond,1978-12-27,3000,0.0023,Moderate
100,VT,World Stock,"Invests in both foreign and U.S. stocks.Seeks to track the performance of the FTSE Global All Cap Index, which covers both well-established and still-developing markets.Has high potential for growth, but also high risk; share value may swing up and down more than U.S. or international stock funds.Only appropriate for long-term goals.",International/Global Stock,2008-06-24,1,0.0007,Moderate to Aggressive
101,VADGX,Large Blend,"This fund is designed to provide investors with some income while offering exposure to dividend-focused companies across all industries. The fund focuses on high-quality companies that have both the ability and the commitment to grow their dividends over time. One of the fund’s risks is the possibility that returns from dividend-paying stocks will trail returns from the overall stock market during any given period. Another risk is the volatility that comes with the fund’s full exposure to the stock market. An investor with a well-balanced, long-term portfolio who seeks exposure to dividend-focused companies may wish to consider this fund.",Domestic Stock - General,2021-11-09,0,0.0045,Aggressive
102,VUSUX,Long Government,"This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills, notes or bonds (including inflation-protected securities) and may invest in other securities including, but not limited to debt issued by federal agencies that are sponsored, guaranteed, or owned by the federal government.. A key risk of the fund is the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Long-Term Bond,2001-02-12,50000,0.001,Moderate
103,VMFVX,Mid Value,"Invests in stocks in the S&P MidCap 400 Value Index, composed of the value companies in the S&P 400.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. mid-cap value stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - More Aggressive,2010-11-02,5000000,0.0008,Aggressive
104,VMBSX,Intermediate Government,"This low-cost index fund invests in U.S. mortgage-backed pass-through securities issued by the Government National Mortgage Association (GNMA), the Federal National Mortgage Association (FNMA), and the Federal Home Loan Mortgage Corporation (FHLMC). In addition to other bond market risks, the fund is subject to prepayment risk. When mortgage refinance activity is high, the yield on the fund is likely to decrease. Investors with a medium-term time horizon and a goal of monthly income may wish to consider this fund for the fixed income portion of their portfolio.",Intermediate-Term Bond,2009-12-03,3000,0.0007,Conservative to Moderate
105,VGRNX,World Stock,"This fund invests in international real estate stocks including real estate investment trusts—companies that own office buildings, hotels, and other real estate. REITs often perform differently from other stocks and bonds, so this fund may add diversification to a portfolio already made up of stocks and bonds. A key risk is the fund’s narrow scope; since it invests solely within the real estate industry, it may be more volatile than more broadly diversified stock funds. Because it invests in non-U.S. stocks, including those in developed and emerging markets, the fund can be subject to risks unique to international investing, such as currency risk. Investors may wish to consider this fund as a complement to an already diversified stock portfolio.",International/Global Stock,2011-04-19,5000000,0.0011,Aggressive
107,VSIGX,Intermediate Government,"This fund employs an indexing investment approach designed to track the performance of the Bloomberg US Treasury 3-10 Year Bond Index. This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities), all with maturities between 3 and 10 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. The fund has a reduced risk of default, since the bonds in the portfolio are backed by the full faith and credit of the U.S. government. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,2010-08-04,3000,0.0007,Conservative to Moderate
108,VHT,Health,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the health care sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies involved in providing medical or health care products, services, technology, or equipment.",Domestic Stock - Sector-Specific,2004-01-26,1,0.001,Aggressive
109,VIHAX,Foreign Large Value,"This fund offers investors a low cost way to gain exposure to international companies that are forecasted to have higher-than-average dividend yields. The fund seeks to track a market cap weighted benchmark of stocks in both developed and emerging economies outside the United States. Because it invests in non-U.S. stocks, the fund can be more volatile than a domestic fund. The fund’s emphasis on slower-growing, higher-yielding companies can also mean that its total return may not be as strong in a significant bull market. This income-focused fund may be appropriate for investors who have a long-term investment goal and a tolerance for stock market volatility.",International/Global Stock,2016-03-02,3000,0.0022,Aggressive
110,VTINX,Conservative Allocation,The Target Retirement Income Fund is designed for investors already in retirement. The fund seeks to provide current income and some capital appreciation by investing in Vanguard index funds. This fund’s allocation to stocks and bonds is the allocation that all Target Retirement Funds are expected to assume within seven years after their designated retirement dates. Investors in this fund should be willing to accept modest movement in share price and be able to tolerate the market risk that comes from the volatility of the stock and bond markets.,Balanced,2003-10-27,1000,0.0008,Conservative to Moderate
111,VRTTX,Large Blend,"Invests in 3,000 stocks representative of 98% of the whole U.S. market.Goal is to keep pace with U.S. stock market returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - General,2010-11-01,5000000,0.0008,Moderate to Aggressive
112,VEGBX,Emerging Markets Bond,"This fund seeks to provide total return while generating a moderate level of current income through investing in bonds in emerging economies. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. The fund does subject U.S.-based investors to currency risk as it has the ability to invest in local currency denominated bonds on an unhedged basis but the majority of bonds are expected to be invested in in U.S. dollar-denominated bonds or hedged back to the U.S. dollar. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Taxable Bond,2017-12-06,50000,0.004,Moderate
113,VWITX,Muni National Interm,"The fund’s investment objective is to seek to provide a moderate and sustainable level of current income that is exempt from federal personal income taxes. The fund has no limitations on the maturity of individual securities but is expected to maintain a dollar-weighted average maturity of 6 to 12 years. At least 75% of the securities held by the fund are municipal bonds in the top three credit-rating categories as determined by a nationally recognized statistical rating organization or, if unrated, determined to be of comparable quality by the advisor. The fund may invest up to 20% of its assets in medium-grade bonds, as determined by a rating organization or by the advisor. The remaining 5% may be invested in securities with lower credit ratings or, if unrated, determined to be of comparable quality by the advisor. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,1977-09-01,3000,0.0017,Conservative to Moderate
114,VWETX,Long-Term Bond,"This fund provides diversified exposure to medium-and high- quality investment-grade corporate bonds with an average maturity of 15 to 25 years. Reflecting this goal, the fund invests primarily in corporate bonds, with a small percentage in taxable municipal bonds, within that maturity range. One of the fund’s risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Changes in interest rates have a bigger impact on bonds with longer-term maturities. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Long-Term Bond,2001-02-12,50000,0.0012,Moderate
115,VIG,Large Blend,"Seeks to track the performance of the S&P U.S. Dividend Growers Index.Passively managed, full-replication approach.Fund remains fully invested.Large-cap equity, emphasizing stocks with a record of growing their dividends year over year.Low expenses minimize net tracking error.",Domestic Stock - General,2006-04-21,1,0.0006,Moderate to Aggressive
116,VTAPX,Inflation-Protected Bond,"This fund seeks to track an index that measures the performance of inflation-protected public obligations of the U.S. Treasury that have a remaining maturity of less than five years. The fund is designed to generate returns more closely correlated with realized inflation over the near term, and to offer investors the potential for less volatility of returns relative to a longer-duration TIPS fund. Given its shorter duration, the fund can be expected to have less real interest rate risk, but also lower total returns relative to a longer-duration TIPS fund. The fund invests in bonds that are backed by the full faith and credit of the federal government and whose principal is adjusted semiannually based on inflation. The fund’s income can fluctuate in response to both changes in interest rates and changes in the rate of inflation. The fund can play a valuable role in already diversified fixed income portfolio by helping to protect investors from inflationary surprises or ”unexpected inflation.”",Inflation-Indexed Securities,2012-10-16,3000,0.0006,Conservative
117,VBITX,Short-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from one to five years. Reflecting this goal, the fund invests about 30% of assets in corporate bonds and 70% in U.S. government bonds within that maturity range. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. Investors with a short-term savings goal who are willing to accept some price movement may wish to consider this fund.",Short-Term Bond,2011-09-27,5000000,0.0005,Conservative
118,VBIMX,Intermediate-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from five to ten years. Reflecting this goal, the fund invests about 50% of assets in corporate bonds and 50% in U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors looking to add a diversified bond fund to their portfolio may wish to consider this fund.",Intermediate-Term Bond,2006-01-26,5000000,0.0005,Conservative to Moderate
119,VWAHX,High Yield Muni,"The fund’s investment objective is to seek to provide a high and sustainable level of current income that is exempt from federal personal income taxes. The fund invests at least 80% of its assets in investment-grade municipal bonds, as determined by a nationally recognized statistical rating organization or, if unrated, determined to be of comparable quality by the advisor. The fund may invest up to 20% of its assets in less-than-investment-grade bonds, as determined by a rating organization or by the advisor. The fund has no limitations on the maturity of individual securities but is expected to maintain a dollar-weighted average maturity of 10 to 25 years. This low-cost municipal bond fund seeks to provide a high level of federally tax-exempt income and typically appeals to investors in higher tax brackets. The fund’s lower credit quality may provide a higher yield, but it makes the fund more susceptible to price volatility due to uncertain prospects for the bond issuers. Investors who are looking for a fund that may provide sustainable federally tax-exempt interest income and can tolerate moderate risk to principal may wish to consider this fund as a complement to an already diversified fixed income portfolio.",Long-Term Bond,1978-12-27,3000,0.0017,Moderate
120,VNQI,World Stock,"Invests in stocks in the S&P Global ex-U.S. Property Index, representing real estate stocks in more than 30 countries.Provides a convenient way to get broad exposure across international REIT equity markets.Focuses on closely tracking the index’s return, which is considered a gauge of overall non-U.S. real estate investment trusts’ and operating companies’ returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",International/Global Stock,2010-11-01,1,0.0012,Aggressive
122,VSGAX,Small Growth,"This low-cost index fund offers exposure to small-capitalization U.S. growth stocks, which tend to grow more quickly than the broader market. The fund seeks to track a growth-style index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a passively managed, small-cap growth allocation to an already diversified portfolio may wish to consider this fund.",Domestic Stock - More Aggressive,2011-09-27,3000,0.0007,Aggressive
123,VWNEX,Large Value,"Since its 1958 inception, this aggressive large-capitalization value fund has held fast to its distinctive strategy. Throughout its history, the fund has sought to be ahead of the market, investing in stocks that are temporarily out of favor, but that the fund’s advisors believe will eventually become profitable investments. This approach can lead to greater short-term volatility because it may take time for the market to recognize a stock’s value. Investors in this fund should have a long-term time horizon and a tolerance for stock market volatility.",Domestic Stock - General,2001-11-12,50000,0.0028,Moderate to Aggressive
