,symbol,category,product_summary,asset_class,risk_level,region,sector
58,VIGIX,Large Growth,"This fund invests in stocks of large U.S. companies in market sectors that tend to grow more quickly than the broad market. This low-cost index fund follows a buy-and-hold approach and invests in substantially all of the stocks represented in its broad benchmark. The fund’s primary risk, apart from general stock market volatility, comes from the fact that its focus on large-capitalization growth stocks may, at times, underperform the broader stock market.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
59,VPL,Diversified Pacific/Asia Stock,"Seeks to track the performance of the FTSE Developed Asia Pacific All Cap Index, which measures the investment return of stocks issued by companies located in the major markets of the Pacific region.Holds stocks of companies located in Japan (the major index component), Australia, Hong Kong, New Zealand, and Singapore.Follows a passively managed, full-replication approach.",Equity,5,"['Emerging Markets', 'Pacific', 'Other']",
60,VMSAX,Multisector Bond,"This actively managed fund seeks to provide broadly diversified exposure across bonds of any credit quality. The low-cost fund invests in U.S. Treasury, corporate bonds, and emerging-market bonds. Using a disciplined, risk-controlled approach, the fund seeks to outperform its benchmark through security selection, sector allocation, and duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s net asset value. This fund is expected to have a meaningful allocation to lower-credit-quality securities, so it is also subject to credit risk; negative perceptions about an issuer’s ability to make its interest or principal payments in a timely manner may cause the price of that bond to decrease. Since the fund invests in all major segments, maturities, and qualities of the fixed income market, investors willing to accept additional risk in their fixed income allocation may consider the fund as a satellite holding.",Fixed Income,3,['North America'],
61,VOHIX,Muni Ohio,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and Ohio personal income taxes. The fund is intended for Ohio residents only. The Fund It invests primarily in high-quality municipal bonds issued by Ohio state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and Ohio state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. This low-cost municipal bond fund seeks to provide federally tax-exempt and Ohio state tax-exempt income and typically appeals to investors in higher tax brackets who reside in Ohio. The fund holds high-quality long-term Ohio municipal bonds with has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and Ohio state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
62,VONG,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
63,VFWAX,Foreign Large Blend,"This index fund provides investors with low-cost exposure to stock markets located outside the United States. The fund seeks to track an index that consists of companies located in developed markets, including Europe, the Pacific, and Canada, and in emerging markets. In addition to stock market risk, the fund is also subject to currency risk and country risk. Because of its exposure to emerging markets, the fund can be more volatile than other international funds. Long-term investors seeking exposure to non-U.S. markets may wish to consider this fund as part of a diversified portfolio.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
64,VTES,Muni National Short,"The investment objective of this index fund is to seek to track the performance of a benchmark index that measures the investment-grade segment of the U.S. municipal bond market with maturities between one month and 7 years. The fund employs an indexing investment approach designed to track the S&P 0-7 Year National AMT-Free Municipal Bond Index using a sampling technique to closely match key benchmark characteristics. All of the fund’s investments will be selected through the sampling process, and at least 80% of the fund’s assets will be invested in securities held in the index. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income will be exempt from federal income taxes and the federal alternative minimum tax. Risks of the fund include the fact that changes in interest rates can affect the fund by resulting in lower bond prices (when interest rates go up) or an eventual decrease in income for the fund (when rates decline). Investors who are looking for a fund that may provide federal tax-exempt income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Fixed Income,2,['North America'],
65,VPU,Utilities,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the utilities sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies that distribute electricity, water, or gas, or that operate as independent power producers.",Equity,5,['North America'],"['Electric Utilities', 'Gas Utilities', 'Independent Power Producers & Energy Traders', 'Multi-Utilities', 'Renewable Electricity', 'Water Utilities']"
66,VPADX,Diversified Pacific/Asia Stock,"This index fund provides investors low-cost exposure to companies in developed countries of the Pacific region. The fund invests in about 2,150 stocks throughout the region, which makes up roughly a quarter of the non-U.S. equity marketplace. In addition to stock market risk, the fund is also subject to currency risk and may have a higher degree of country risk than other international funds, since it invests solely in stocks of countries located in the Pacific region, particularly Japan. Long-term investors seeking exposure to Pacific equities may wish to consider this fund as part of a diversified portfolio.",Equity,5,"['Emerging Markets', 'Pacific', 'Other']",
67,VCAIX,Muni California Interm/Short,"The fund’s investment objective is to seek to provide a higher level of current income than shorter-term bonds, but with less share-price fluctuation than longer-term bonds. The fund is intended for California residents only. It invests primarily in high-quality municipal bonds issued by California state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and California state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 6 and 12 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal and California state tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Fixed Income,2,['North America'],
68,VAGVX,Foreign Large Value,"The fund will provide global, all-cap, contrarian value exposure by investing in discounted companies that are being avoided or overlooked due to uncertainty or complacency. The investment style involves identifying deeply mispriced companies with moderate risk expectations and blends it with strategies designed to exploit inefficiencies in the market, and in particular those created by behavioral biases.",Equity,5,['North America'],
69,VOT,Mid Growth,"Seeks to track the performance of the CRSP US Mid Cap Growth Index, which measures the investment return of mid-capitalization growth stocks.Provides a convenient way to match the performance of a diversified group of midsize growth companies.Follows a passively managed, full-replication approach.",Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
70,VSBSX,Short Government,"This fund employs an indexing investment approach designed to track the performance of the Bloomberg US Treasury 1–3 Year Bond Index. This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities), all with maturities between 1 and 3 years. Like other bond funds, one of the fund’s risks is that increases in interest rates cause the prices of the bonds in the portfolio to decrease; however, such risk is less pronounced in this fund than in funds with longer average durations. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. The fund has a reduced risk of default, since the bonds in the portfolio are backed by the full faith and credit of the U.S. government. Investors with short-term savings goals who are willing to accept some price movement may wish to consider this fund.",Fixed Income,1,['North America'],
71,IVOV,Mid Value,"On February 22, 2023, Vanguard announced that the ETF will complete a 2:1 share split effective March 14, 2023. The share split results in a decrease of the price per share of the ETF with a proportionate increase in the number of shares outstanding. Historical share price data will not be adjusted for the split. Although certain data may reflect both pre- and post-split prices, returns are not impacted.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
72,VIGI,Foreign Large Blend,"Seeks to track the performance of the S&P Global Ex-U.S. Dividend Growers Index.Employs a passively managed, full-replication strategy.The fund remains fully invested.Large-cap equity, emphasizing stocks from developed and emerging markets, excluding the United States, with a record of growing dividends year over year.Low expenses minimize net tracking error.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America']",
73,VWESX,Long-Term Bond,"This fund provides diversified exposure to medium-and high- quality investment-grade corporate bonds with an average maturity of 15 to 25 years. Reflecting this goal, the fund invests primarily in corporate bonds, with a small percentage in taxable municipal bonds, within that maturity range. One of the fund’s risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Changes in interest rates have a bigger impact on bonds with longer-term maturities. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
74,VASVX,Mid Value,"This fund focuses on mid-sized companies. The fund’s three advisors buy stocks they view as being significantly undervalued and out of favor with investors. Because of the size and characteristics of the stocks the fund holds, performance can vary significantly from that of the broad stock market. The fund is typically concentrated in a small number of stocks and, therefore, can be subject to significant volatility. Investors in this fund should have a long-term horizon and may consider the fund complementary to an already diversified portfolio.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
75,VSGDX,Short Government,"The fund’s investment objective is to seek to provide current income while maintaining limited price volatility. Under normal circumstances, the fund will invest at least 80% of its assets in short-term bonds issued or guaranteed by the U.S. government and its agencies, many of which are not backed by the full faith and credit of the U.S. government. The fund is expected to maintain a dollar-weighted average maturity of 1 to 4 years.",Fixed Income,1,['North America'],
76,VGPMX,World Stock,"This fund looks for opportunities arising from changing investor sentiment resulting from cycles of under- and overinvestment in capital-intensive industries. At least 25% of the fund will be invested in precious metals and mining securities. It also focuses on opportunities to invest in companies with scarce, high-quality infrastructure assets—typically in utilities and telecommunications—that are viewed as irreplaceable and therefore have enduring value. In addition to stock market risk, the fund is subject to currency risk and country risk. Long-term investors seeking global equity exposure and who are comfortable with the added volatility in international investing may wish to consider this fund.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'North America', 'Other']",
77,VUG,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
78,VWEHX,High Yield Bond,"Vanguard High-Yield Corporate Fund invests in a diversified portfolio of medium- and lower-quality corporate bonds, often referred to as “junk bonds.” Created in 1978, this fund seeks to purchase what the advisor considers higher-rated junk bonds. This approach aims to capture consistent income and minimize defaults and principal loss. Although this is a bond fund, high-yield bonds tend to have volatility similar to that of the stock market. This fund may be considered complementary to an already diversified portfolio.",Fixed Income,3,['North America'],
79,VT,World Stock,"Invests in both foreign and U.S. stocks.Seeks to track the performance of the FTSE Global All Cap Index, which covers both well-established and still-developing markets.Has high potential for growth, but also high risk; share value may swing up and down more than U.S. or international stock funds.Only appropriate for long-term goals.",Equity,4,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
80,VADGX,Large Blend,"This fund is designed to provide investors with some income while offering exposure to dividend-focused companies across all industries. The fund focuses on high-quality companies that have both the ability and the commitment to grow their dividends over time. One of the fund’s risks is the possibility that returns from dividend-paying stocks will trail returns from the overall stock market during any given period. Another risk is the volatility that comes with the fund’s full exposure to the stock market. An investor with a well-balanced, long-term portfolio who seeks exposure to dividend-focused companies may wish to consider this fund.",Equity,5,['North America'],
81,VUSUX,Long Government,"This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills, notes or bonds (including inflation-protected securities) and may invest in other securities including, but not limited to debt issued by federal agencies that are sponsored, guaranteed, or owned by the federal government.. A key risk of the fund is the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
82,VMFVX,Mid Value,"Invests in stocks in the S&P MidCap 400 Value Index, composed of the value companies in the S&P 400.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. mid-cap value stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
83,VMBSX,Intermediate Government,"This low-cost index fund invests in U.S. mortgage-backed pass-through securities issued by the Government National Mortgage Association (GNMA), the Federal National Mortgage Association (FNMA), and the Federal Home Loan Mortgage Corporation (FHLMC). In addition to other bond market risks, the fund is subject to prepayment risk. When mortgage refinance activity is high, the yield on the fund is likely to decrease. Investors with a medium-term time horizon and a goal of monthly income may wish to consider this fund for the fixed income portion of their portfolio.",Fixed Income,2,['North America'],
84,VGRNX,World Stock,"This fund invests in international real estate stocks including real estate investment trusts—companies that own office buildings, hotels, and other real estate. REITs often perform differently from other stocks and bonds, so this fund may add diversification to a portfolio already made up of stocks and bonds. A key risk is the fund’s narrow scope; since it invests solely within the real estate industry, it may be more volatile than more broadly diversified stock funds. Because it invests in non-U.S. stocks, including those in developed and emerging markets, the fund can be subject to risks unique to international investing, such as currency risk. Investors may wish to consider this fund as a complement to an already diversified stock portfolio.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
85,VSIGX,Intermediate Government,"This fund employs an indexing investment approach designed to track the performance of the Bloomberg US Treasury 3-10 Year Bond Index. This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities), all with maturities between 3 and 10 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. The fund has a reduced risk of default, since the bonds in the portfolio are backed by the full faith and credit of the U.S. government. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate moderate price and income fluctuations may wish to consider this fund.",Fixed Income,2,['North America'],
86,VHT,Health,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the health care sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies involved in providing medical or health care products, services, technology, or equipment.",Equity,5,['North America'],"['Biotechnology', 'Health Care Distributors', 'Health Care Equipment', 'Health Care Facilities', 'Health Care Services', 'Health Care Supplies', 'Health Care Technology', 'Life Sciences Tools & Services', 'Managed Health Care', 'Pharmaceuticals']"
87,VIHAX,Foreign Large Value,"This fund offers investors a low cost way to gain exposure to international companies that are forecasted to have higher-than-average dividend yields. The fund seeks to track a market cap weighted benchmark of stocks in both developed and emerging economies outside the United States. Because it invests in non-U.S. stocks, the fund can be more volatile than a domestic fund. The fund’s emphasis on slower-growing, higher-yielding companies can also mean that its total return may not be as strong in a significant bull market. This income-focused fund may be appropriate for investors who have a long-term investment goal and a tolerance for stock market volatility.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
88,VRTTX,Large Blend,"Invests in 3,000 stocks representative of 98% of the whole U.S. market.Goal is to keep pace with U.S. stock market returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
89,VEGBX,Emerging Markets Bond,"This fund seeks to provide total return while generating a moderate level of current income through investing in bonds in emerging economies. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. The fund does subject U.S.-based investors to currency risk as it has the ability to invest in local currency denominated bonds on an unhedged basis but the majority of bonds are expected to be invested in in U.S. dollar-denominated bonds or hedged back to the U.S. dollar. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Fixed Income,3,"['Emerging Markets', 'Europe', 'Middle East', 'North America', 'Other']",
90,VWITX,Muni National Interm,"The fund’s investment objective is to seek to provide a moderate and sustainable level of current income that is exempt from federal personal income taxes. The fund has no limitations on the maturity of individual securities but is expected to maintain a dollar-weighted average maturity of 6 to 12 years. At least 75% of the securities held by the fund are municipal bonds in the top three credit-rating categories as determined by a nationally recognized statistical rating organization or, if unrated, determined to be of comparable quality by the advisor. The fund may invest up to 20% of its assets in medium-grade bonds, as determined by a rating organization or by the advisor. The remaining 5% may be invested in securities with lower credit ratings or, if unrated, determined to be of comparable quality by the advisor. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Fixed Income,2,['North America'],
91,VWETX,Long-Term Bond,"This fund provides diversified exposure to medium-and high- quality investment-grade corporate bonds with an average maturity of 15 to 25 years. Reflecting this goal, the fund invests primarily in corporate bonds, with a small percentage in taxable municipal bonds, within that maturity range. One of the fund’s risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Changes in interest rates have a bigger impact on bonds with longer-term maturities. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
92,VIG,Large Blend,"Seeks to track the performance of the S&P U.S. Dividend Growers Index.Passively managed, full-replication approach.Fund remains fully invested.Large-cap equity, emphasizing stocks with a record of growing their dividends year over year.Low expenses minimize net tracking error.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Utilities']"
93,VBITX,Short-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from one to five years. Reflecting this goal, the fund invests about 30% of assets in corporate bonds and 70% in U.S. government bonds within that maturity range. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. Investors with a short-term savings goal who are willing to accept some price movement may wish to consider this fund.",Fixed Income,1,['North America'],
94,VBIMX,Intermediate-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from five to ten years. Reflecting this goal, the fund invests about 50% of assets in corporate bonds and 50% in U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors looking to add a diversified bond fund to their portfolio may wish to consider this fund.",Fixed Income,2,['North America'],
95,VWAHX,High Yield Muni,"The fund’s investment objective is to seek to provide a high and sustainable level of current income that is exempt from federal personal income taxes. The fund invests at least 80% of its assets in investment-grade municipal bonds, as determined by a nationally recognized statistical rating organization or, if unrated, determined to be of comparable quality by the advisor. The fund may invest up to 20% of its assets in less-than-investment-grade bonds, as determined by a rating organization or by the advisor. The fund has no limitations on the maturity of individual securities but is expected to maintain a dollar-weighted average maturity of 10 to 25 years. This low-cost municipal bond fund seeks to provide a high level of federally tax-exempt income and typically appeals to investors in higher tax brackets. The fund’s lower credit quality may provide a higher yield, but it makes the fund more susceptible to price volatility due to uncertain prospects for the bond issuers. Investors who are looking for a fund that may provide sustainable federally tax-exempt interest income and can tolerate moderate risk to principal may wish to consider this fund as a complement to an already diversified fixed income portfolio.",Fixed Income,3,['North America'],
96,VNQI,World Stock,"Invests in stocks in the S&P Global ex-U.S. Property Index, representing real estate stocks in more than 30 countries.Provides a convenient way to get broad exposure across international REIT equity markets.Focuses on closely tracking the index’s return, which is considered a gauge of overall non-U.S. real estate investment trusts’ and operating companies’ returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
97,VSGAX,Small Growth,"This low-cost index fund offers exposure to small-capitalization U.S. growth stocks, which tend to grow more quickly than the broader market. The fund seeks to track a growth-style index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a passively managed, small-cap growth allocation to an already diversified portfolio may wish to consider this fund.",Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
98,VWNEX,Large Value,"Since its 1958 inception, this aggressive large-capitalization value fund has held fast to its distinctive strategy. Throughout its history, the fund has sought to be ahead of the market, investing in stocks that are temporarily out of favor, but that the fund’s advisors believe will eventually become profitable investments. This approach can lead to greater short-term volatility because it may take time for the market to recognize a stock’s value. Investors in this fund should have a long-term time horizon and a tolerance for stock market volatility.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
99,VGIAX,Large Blend,"This fund seeks to outperform the Standard & Poor’s 500 Index. The fund’s quantitative and fundamental investment approaches result in risk and sector profiles that are similar to those of its benchmark index. The fund has a total return goal, meaning that it seeks both capital appreciation and dividend income. The key risk for the fund is the volatility that comes with its full exposure to the stock market. The fund provides broad exposure to a diverse group of large U.S. companies and may be considered a primary equity holding in a portfolio.Important Note: Wellington Management Company LLP (Wellington Management) has contractually agreed to waive .03% of the management fee on its portion of the fund for a period of one year from August 28, 2023, at which time Wellington Management’s fee will automatically revert to the agreed upon schedule. The contractual waiver may be terminated prior to August 28, 2024, only upon written agreement of the fund and Wellington Management.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
100,VMLUX,Muni National Short,"This low-cost municipal bond fund seeks to provide income exempt from federal taxes and typically appeals to investors in higher tax brackets. The fund holds high-quality short-term municipal bonds with an average duration of approximately 2 years, a bit longer than the Short-Term Tax-Exempt Fund. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a modest level of federal tax-exempt interest income and can tolerate some income and share price risk may wish to consider this fund.",Fixed Income,1,['North America'],
101,VRTVX,Small Value,"Invests in stocks in the Russell 2000 Value Index, a broadly diversified index predominantly made up of value stocks of small U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of small-cap value U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
102,VRNIX,Large Blend,"Invests in stocks in the Russell 1000 Index, a broadly diversified index made up of large U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of large-cap U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
103,VNJUX,Muni New Jersey,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and New Jersey personal income taxes. The fund is intended for New Jersey residents only. It invests primarily in high-quality municipal bonds issued by New Jersey state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and New Jersey state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and New Jersey state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
104,VWUSX,Large Growth,Vanguard’s oldest growth fund focuses on well-known blue-chip companies that tend to hold strong positions in their respective industries. The fund’s investment advisors believe these companies have the ability to deliver positive earnings growth and superior returns over the long term. The fund is typically invested in a portfolio of primarily large-capitalization stocks. Investors with a long-term investment horizon who want exposure to large growth companies may wish to consider this fund.,Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate']"
105,VRVIX,Large Value,"Invests in stocks in the Russell 1000 Value Index, a broadly diversified index predominantly made up of value stocks of large U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of large-cap value U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
106,VBLAX,Long-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities of more than ten years. Reflecting this goal, the fund invests about 60% of assets in corporate bonds and 40% in U.S. government bonds within that maturity range. Because long-term bonds tend to be very sensitive to interest-rate changes, one of the fund’s key risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
107,VEMAX,Diversified Emerging Markets,"This fund offers investors a low-cost way to gain equity exposure to emerging markets. Stocks of companies in emerging markets tend to be more volatile than those in developed countries, which could imply the potential for greater long-term returns. Along with this potential, however, come risks such as currency and political risks. Long-term, risk-tolerant investors who want to diversify their international portfolio may wish to consider this fund.",Equity,5,"['Emerging Markets', 'Europe', 'Other']",
108,VFSAX,Foreign Small/Mid Growth,"This index fund provides investors low-cost exposure to stocks of small-capitalization companies in non-U.S. markets. The fund seeks to track an index of smaller companies located in developed markets, including Europe, the Pacific, and Canada, and in emerging markets. In addition to stock market risk, the fund is also subject to currency risk and country risk. The fund may also experience heightened volatility because of its focus on small-cap stocks, which tend to be more volatile than larger stocks. Long-term investors seeking exposure to small-cap, non-U.S. markets may wish to consider this fund as part of an internationally diversified portfolio.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
109,VGRLX,World Stock,"This fund invests in international real estate stocks including real estate investment trusts—companies that own office buildings, hotels, and other real estate. REITs often perform differently from other stocks and bonds, so this fund may add diversification to a portfolio already made up of stocks and bonds. A key risk is the fund’s narrow scope; since it invests solely within the real estate industry, it may be more volatile than more broadly diversified stock funds. Because it invests in non-U.S. stocks, including those in developed and emerging markets, the fund can be subject to risks unique to international investing, such as currency risk. Investors may wish to consider this fund as a complement to an already diversified stock portfolio.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
110,VSBIX,Short Government,"This fund employs an indexing investment approach designed to track the performance of the Bloomberg US Treasury 1–3 Year Bond Index. This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities), all with maturities between 1 and 3 years. Like other bond funds, one of the fund’s risks is that increases in interest rates cause the prices of the bonds in the portfolio to decrease; however, such risk is less pronounced in this fund than in funds with longer average durations. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. The fund has a reduced risk of default, since the bonds in the portfolio are backed by the full faith and credit of the U.S. government. Investors with short-term savings goals who are willing to accept some price movement may wish to consider this fund.",Fixed Income,1,['North America'],
